Unit,Unit No.,Floor Plan Code,Net sf,Occupancy Status,"Enter ""F"" for Future Lease",Market Rent,Lease Start Date,Lease Expiration,"Enter individual charge codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns. RENT",CONC/SPECL,Balance,PETFEE,CARPORT,PARKING,HOUSING,Occupancy Status / Code,"Enter ""F"" for Future Lease / Code",MTOM,PETRENT,GARAGE,Concession,Garbage,Pet Fee,Rent,Pet Rent,Pest Fee,Trash,Insurance Fee,Lease Rent,Required Deposit,Dep On Hand,TRASH,Occupancy Code,"Enter ""F"" for Future Lease.1",MTM,Occupancy Status Code,Occupied Since,Other Income,CABORT,REFERRAL,Move-Out Date,"Enter ""F"" for Future Lease Code",Month To Month,Enter Future Lease,CONC/SUBSIDY,FUTURE_RENT,Enter Other Lease Charge Codes Here,SH,CONC/SUB,PEST,MAINTENANCE,"Enter individual charge codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns. RENT: 1190",Occupationally Accurate Market...,FARE,Rojas Jose,Occupied,"Enter individual charge codes into the blue cells below (ex. rent, maintenance, petfee, etc). For each unit, enter charge amounts in the corresponding columns. RENT","Enter individual charge codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns.:",Enter other rental charges here,Enter other credit amounts here,Insurance,Market Rent Code,Lease Start Date Code,Lease Expiration Code,Occupancy Status Code^1,"Enter ""F"" for Future Lease Code^1",Market Rent Code^1,Lease Start Date Code^1,Lease Expiration Code^1,Map Code,"Enter Individual Charge Codes into the blue cells below (ex. rent, conc, petf, etc). For each unit, enter charge amounts in the corresponding columns. RENT",Occupied Net sf,Legal and Other Non-Refundable Fees,Enter F for Future Lease,Market Rent.1,Lease Start Date.1,Lease Expiration.1,Occupied.1,Actual Rent,Resident Deposit,Other Deposit,Occupancy Influences,Occupied by
1001,1001,60212c5,1304.0,Occupied,,1165.0,2019-04-30,2020-05-31,1165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1002,60212c1,1153.0,Occupied,F,1110.0,2018-09-01,2019-07-31,147.0,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1002,60212c1,1153.0,ad4823,,1110.0,2018-05-10,2019-05-09,,,-64.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,60212b2,949.0,Occupied-NTV,,970.0,2019-01-12,2019-08-31,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,1011,60212a4,1459.0,Occupied,,1385.0,2019-04-01,2019-12-31,1385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,10102,60212c4,1304.0,Occupied,,1155.0,2018-06-01,2019-06-30,1171.0,-500.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,10103,60212b1,1002.0,VACANT,,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,10104,60212b2,1081.0,Occupied,,1025.0,2018-12-01,2020-01-31,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,10105,60212b2,1081.0,Occupied,,1025.0,2019-03-28,2020-04-30,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,10106,60212b1,1002.0,Occupied,,990.0,2019-06-01,2020-06-30,990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107,10107,60212b1,1002.0,Occupied,,990.0,2019-10-01,2020-09-30,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,10108,60212b2,1081.0,Occupied,,1025.0,2018-11-14,2019-12-31,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,10109,60212b1,1002.0,Occupied,F,1140.0,2019-05-17,2020-06-30,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,810,60212b1,1002.0,Occupied,,1140.0,2019-03-10,2020-03-31,1140.0,-1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,60209c3,1227.0,Occupied,,1150.0,2018-07-01,2019-08-31,980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201,10201,60212b2,1081.0,Occupied,,1175.0,2019-01-08,2020-01-31,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,1020,60212b1,1002.0,Occupied,,990.0,2018-10-29,2019-11-30,892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,1020,60212c3,1226.0,OCCUPIED,,1360.0,2018-09-22,2019-10-21,1328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203,10203,7112b,1179.0,Occupied,,1425.0,2019-04-12,2020-04-30,1361.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204,10204,60212b2,1081.0,Occupied,,1175.0,2018-08-30,2019-09-29,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
